,user_id,name,age,country,email,password,preferences
0,1,Scott Walker,16.0,Ethiopia,michaeldunn@example.net,^@6QwmzrIi,['Drame']
1,2,Patricia Glover,57.0,Lesotho,reginaclark@example.org,%o&1r@Zp)g,['Romance']
2,3,Samantha Gallegos,44.0,Guyana,jenniferrobinson@example.org,*0uZXc*ds0,"['Horreur', 'Romance', 'Comédie']"
3,4,Cindy Little,55.0,Liechtenstein,justin87@example.org,kcT5Qdeao*,"['Action', 'Romance', 'Horreur']"
4,5,Todd Flynn,55.0,Ghana,kristinapeterson@example.net,Z8DSCSgl!5,"['Thriller', 'Romance']"
5,6,Douglas Martinez,67.0,Falkland Islands (Malvinas),melissawright@example.com,ovA4ECaX&i,['Romance']
6,7,John Campbell,19.0,Montenegro,fjohnson@example.org,&f7Hpr9Gx@,['Drame']
7,8,Anthony Ortega,38.0,Canada,znavarro@example.org,8B&WLJzC!O,['Animé']
8,9,Renee Owens,46.0,Chad,jonesjennifer@example.com,ku7E1Rfc_x,"['Comédie', 'Science-Fiction']"
9,10,Virginia White,64.0,Poland,chloemclaughlin@example.com,@ioZo4LKO7,['Horreur']
10,11,Joshua Anderson,46.0,Oman,clarkjacqueline@example.com,#KJIVEenC2,"['Comédie', 'Drame', 'Romance']"
11,12,Mark Singh,50.0,Solomon Islands,rodriguezbarbara@example.com,8@L1v3ut)^,"['Horreur', 'Romance']"
12,13,Tina Estes,66.0,Cyprus,ayaladonna@example.net,(WH82ToG*4,"['Horreur', 'Animé']"
13,14,Kevin Norton,47.0,Guinea-Bissau,bcarson@example.com,#x5CMJ(m^7,['Horreur']
14,15,Kevin Rogers,23.0,Taiwan,shane90@example.net,_f3I5xXt@i,"['Action', 'Thriller']"
15,16,Stanley Crosby,22.0,Canada,joanna13@example.org,K#OZ5Cuvo),"['Action', 'Animé']"
16,17,Kevin Ferguson,47.0,Panama,guerrerojacob@example.org,vj^8NhYuzH,"['Thriller', 'Romance']"
17,18,Kevin Henderson,63.0,Zambia,xwhite@example.org,9yhMMA+y+V,"['Action', 'Animé', 'Horreur']"
18,19,Jennifer Yates,29.0,Hong Kong,jeffery27@example.com,o2z1KAox$Y,"['Horreur', 'Drame']"
19,20,Barry Banks,40.0,Libyan Arab Jamahiriya,walterellison@example.net,Kc1yMXaz!+,['Thriller']
20,21,Alice Rice,40.0,Albania,emily11@example.org,^6Fe_ZU@Zs,['Horreur']
21,22,John Johnson,61.0,Bulgaria,april22@example.com,!Y2Ap0bm$t,"['Science-Fiction', 'Romance']"
22,23,Benjamin Phillips,37.0,Hong Kong,adriennesullivan@example.com,(74ex5Kr0W,['Animé']
23,24,Adrian Montgomery,28.0,Nepal,cfisher@example.com,!Z!S6kFyQY,['Comédie']
24,25,Michael Henry,52.0,Eritrea,staciekelly@example.org,+EQ3Q1c4#R,"['Horreur', 'Romance']"
25,26,Julia Gray,45.0,Antarctica (the territory South of 60 deg S),whall@example.org,&#09CrgvDM,['Drame']
26,27,Michelle Norman,52.0,Jersey,lambertjason@example.org,*vbTh7&L^7,"['Drame', 'Thriller']"
27,28,Margaret Calhoun,41.0,French Guiana,mpetersen@example.com,V)K6Nwpwp_,"['Drame', 'Comédie']"
28,29,Amanda Dickson,22.0,Saint Vincent and the Grenadines,lindastewart@example.com,ss#9jQyi$a,['Thriller']
29,30,Sarah Sparks,24.0,Kuwait,ndaniel@example.com,OJ46wNZb#),"['Comédie', 'Drame', 'Animé']"
30,31,Sarah Serrano,16.0,Peru,jennymiller@example.com,@_3Wt_VcbH,"['Drame', 'Science-Fiction', 'Romance']"
31,32,Keith Pope,19.0,Saint Barthelemy,ithompson@example.net,_x0BAi*Y+G,"['Thriller', 'Animé', 'Science-Fiction']"
32,33,Jennifer Mcpherson,56.0,Aruba,wilsoncrystal@example.com,)90gMXibLq,"['Drame', 'Romance', 'Comédie']"
33,34,Beth Dominguez,46.0,Non renseigné,twilliams@example.com,*4YmtXz&VI,"['Thriller', 'Science-Fiction']"
34,35,Sally Olsen,49.0,New Caledonia,ujackson@example.org,hB7kcgEps!,['Thriller']
35,36,Stephen Dunn,66.0,Uzbekistan,tschneider@example.net,#GRiUaVf0^,['Romance']
36,37,Jennifer French,59.0,Slovenia,claytonhenry@example.org,Y)9T#%2goX,"['Horreur', 'Thriller', 'Science-Fiction']"
37,38,William Mills,32.0,Cayman Islands,jeffreymedina@example.net,!8H9t%Qeig,"['Comédie', 'Animé']"
38,39,Joseph Anderson,47.0,Russian Federation,shannongreen@example.com,9!a1Af%V&A,"['Thriller', 'Horreur', 'Comédie']"
39,40,Megan Terry,21.0,Nepal,jeffrey34@example.com,wn%7AvqKh#,"['Action', 'Romance', 'Science-Fiction']"
40,41,Jodi Harris,19.0,Bosnia and Herzegovina,johnsondaniel@example.com,(@^)jKzi00,['Animé']
